Enlace;ID;Sitio;ultima IP;IP;Mask;
;#N/D;Sonsonate 1;172.16.3.254;172.16.3.4;255.255.255.0;
Alegr¡a > Mercedes Uma¤a ;#N/D;Alegr¡a ;172.17.52.62;172.17.52.61;255.255.255.252;
;#N/D;Mercedes Uma¤a ;172.16.14.254;172.16.14.11;255.255.255.0;
Apastepeque Pueblo  > San Vicente;391112;Apastepeque Pueblo;172.17.32.6;172.17.32.5;255.255.255.252;
;391101;San Vicente;172.16.9.254;172.16.9.2;255.255.255.0;
Berl¡n > Mercedes Uma¤a;#N/D;Berl¡n;172.17.52.66;172.17.52.65;255.255.255.252;
;#N/D;Mercedes Uma¤a;172.16.14.254;172.16.14.12;255.255.255.0;
Chapeltique > El Sitio;390622;Chapeltique;172.17.52.70;172.17.52.69;255.255.255.252;
;390606;El Sitio;172.16.14.254;172.16.14.8;255.255.255.0;
Chinameca >  Lolotique ;390609;Chinameca;172.17.52.74;172.17.52.73;255.255.255.252;
;#N/D;Lolotique ;172.17.53.126;172.17.53.100;255.255.255.224;
El Tr nsito 2  > Usulutan ;#N/D;El Tr nsito 2;172.17.28.86;172.17.28.85;255.255.255.252;
;#N/D;Usulut n ;172.16.8.254;172.16.8.20;255.255.255.0;
Ereguayqu¡n  > Usulut n;#N/D;Ereguayqu¡n;172.17.28.90;172.17.28.89;255.255.255.252;
;#N/D;Usulut n;172.16.8.254;172.16.8.21;255.255.255.0;
Jerusalem > Cerro Grande;#N/D;Jerusalem ;172.17.32.9;172.17.32.9;255.255.255.252;
;391102;Cerro Grande;172.16.9.254;172.16.9.3;255.255.255.0;
Quelepa > El Sitio;390628;Quelepa;172.17.52.78;172.17.52.77;255.255.255.252;
;390606;El Sitio;172.16.14.254;172.16.14.9;255.255.255.0;
San Ildenfonso > Mercedes Uma¤a;#N/D;San Ildenfonso;172.17.52.82;172.17.52.81;255.255.255.252;
;#N/D;Mercedes Uma¤a;172.16.14.254;172.16.14.13;255.255.255.0;
