SITEID;NOMBRE DE SITIO;LATITUDE;LONGITUDE;NIC/NIS;Distribuidora;Llave Requerida;Altura;Columna1;In-Building;Support Type;Porte;Tech;Tipo de Transmision;Nombre para Propietario ;Tipo Ubicaci¢n;Propietario;Direcci¢n;Municipio
391571;TONACATEPEQUE;13.776342;-89.125262;2446766;CAESS;;60;;OUTDOOR;AUTOSOPORTADA;MEDIANO;GUL;MW;Tonacatepeque;Arrendado;TEM ARRENDADOS;Lote 16 y 17 Pol°gono 6 Lotificaci¢n Santa Eduviges, jurisdicci¢n de Tonacatepeque, Depto.de San Salvador;Tonacatepeque
390715;COATEPEQUE I;13.896674;-89.547191;1174322;CLESA;;35;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;MW;TSVTF02286 COATEPEQUE I;Co-Ubicado;TORRECOM;Km 55.5 carretera de El Copngo Al Lago, Cant¢n Las Haradas, Caser°o Flor Amarilla, Santa Ana, Departamento de Santa Ana.;Santa Ana
391576;APOPA 2;13.804131;-89.194388;5171894;CAESS;;30;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;APOPA 2;Arrendado;TEM ARRENDADOS;Carretera Apopa-Nejapa Km 15+300, Apopa, San Salvador;Apopa
390716;CUTUMAY CAMONES;14.054282;-89.513195;5268425;CLESA;;42;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;ES61426-A Cutumay Camones;Co-Ubicado;SBA;Caser°o Talpetate, cant¢n Cutumay Camones, municipio de Santa Ana. ;Santa Ana
391578;LAGO DE ILOPANGO 2;13.713828;-89.085604;5269939;CAESS;;20;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;LAGO DE ILOPANGO 2;Arrendado;TEM ARRENDADOS;Km. 13 ´ Carretera Panamericana Lote numero 34, Cant¢n La Palma, jurisdicci¢n de San Mart°n ;San Martin
390717;TEXISTEPEQUE;14.119064;-89.498697;5273873;CLESA;;54;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;Texistepeque;Arrendado;TEM ARRENDADOS;Km.82 Carretera de Santa Ana a Metapan, Texistepeque.;Texistepeque
391580;SOYAPANGO 2;13.71878;-89.12364;5269692;CAESS;;20;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;SOYAPANGO 2;Arrendado;TEM ARRENDADOS;Calle la Fuente, Colonia Rivera, pasaje Rivera, Lote No. 3 municipio de Soyapango ;Soyapango
390718;GUAJOYO;14.232505;-89.475489;5275384;CLESA;;50;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;GUAJOYO;Arrendado;TEM ARRENDADOS;Calle que conduce al Lago de Guija, Cant¢n BelÇn Guijat, jurisdicci¢n de Metap†n.;Metapan
391590;APOPA 3;13.806739;-89.167874;5304460;CAESS;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;SV-SS-1271 APOPA 4;Co-Ubicado;PHOENIX;Calle antigua a Toanca, Fabrica Capri, Barrio San Nicolas;Apopa
390719;LA LAGUNA METAPAN;14.29728;-89.4688;5275363;CLESA;;70;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;LA LAGUNA METAPAN;Arrendado;TEM ARRENDADOS;Caser°o San Diego, Municipio de Metap†n;Metapan
391602;LOS ALMENDROS;13.722901;-89.079547;Pendiente;0;;30;;OUTDOOR;MONOPOLO;PEQUE•O;UL;FO;Los Almendros;Co-Ubicado;TETRA;Carretera de Oro, Colonia Los Almendros, La Finquita San Martin, Municipio de San Martin, Departamento de San Salvador;San Martin
390720;ANGUIATU;14.406076;-89.433799;5275350;CLESA;;70;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;TSVTF02341 ANGUIATU;Co-Ubicado;TORRECOM;Cant¢n Zapote Brujo, Caser°o El Roble, calle que conduce al Valle San Jorge, jurisdicci¢n de Metapan;Metapan
391608;REDONDEL INTEGRACION;13.787741;-89.199681;5350206;CAESS;;42;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;SV-SS-1263 Redondel Integraci¢n;Co-Ubicado;PHOENIX;ANTIGUA CALLE A NEJAPA, LOTE #10 POLIGONO 5, LOTIFICACION EL ANGEL PORCION 8-A, CANTON JOYA GALANA;Apopa
390721;CARRETERA LOS NARANJOS;13.895675;-89.676141;5296434;CLESA;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;SV-SA-1136 Carretera Los Naranjos;Co-Ubicado;PHOENIX;Finca La Florida Km. 79 Carretera los Naranjos;Chalchuapa
391609;SAN JOSE LAS FLORES;13.824218;-89.155383;5351621;CAESS;;48;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;SV-SS-1023 San JosÇ Las Flores ;Co-Ubicado;PHOENIX;CARRETERA TRONCAL DEL NORTE, SAN JOSE LAS FLORES;Apopa
390722;SANTO TOMAS TEXISTEPEQUE;14.16936;-89.5043;5312593;CLESA;;54;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;TES0419 Santo Tomas Texistepeque;Co-Ubicado;TIGO;Lote 50, Lotificacion San Antonio, Santo Tomas, Texistepeque, Santa Ana;Texistepeque
391615;APOPA 7;13.811334;-89.179568;5675678;CAESS;;30;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;TSVTF06106 Apopa 7;Co-Ubicado;TORRECOM;Lotificaci¢n Madre Tierra. Avnida y calle las Orquideas, Apopa. San Salvador.;Apopa
390723;TECANA;13.985044;-89.542213;5328250;CLESA;;40;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;TECANA SV-01-0986-01;Co-Ubicado;Sites Tp;LOTIFICACIONˇ ALTOS DEL MOLINO, LOTE # 17 POL. K;Santa Ana
391620;APOPA 4;13.79895;-89.16566;5421498;CAESS;;27;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;Apopa 4;Co-Ubicado;TETRA;Cant¢n San Nicol†s, Finca San Pablo, al Nor Este de Apopa, Departamento de San Salvador  ;Apopa
390724;STA ANA CIUDAD PARAISO;13.991739;-89.596129;5011649;EDESAL;;42;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;ES63871-A Ciudad Para°so;Co-Ubicado;SBA;FINAL COLONIA MENDEZ, CANTON COMECAYO, CONTIGUO A RESIDENCIAL ALTOS DEL PARAISO;Santa Ana
391624;LAS MARGARITAS 2;13.730755;-89.138911;5417938;CAESS;;30;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;TES0691 Las Margaritas 2;Co-Ubicado;TIGO;Quinta Alegria, Lote No 1 contiguo a Col. San Francisco, Calle  La Campanera, Cton. El Limon, Soyapango, San Salvador;Soyapango
390725;FRONTERA SAN CRISTOBAL;14.185508;-89.663031;5356165;CLESA;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;SV-SA-1143 FRONTERA SAN CRISTOBAL;Co-Ubicado;PHOENIX;CASERIO EL MANIADERO, CANTON LA FLOR, JURISDICCION DE SANTIAGO DE LA FRONTERA;Santiago de La Frontera
391625;CIUDADELA;13.718631;-89.152803;5421872;CAESS;;30;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;TES0079 Ciudadela;Co-Ubicado;TIGO;Col. San Antonio, Calle PrincipalBlock B, No.11.Ciudadela Don Bosco;Soyapango
390726;CERRO LA CRUZ;14.147206;-89.660627;5357609;CLESA;;30;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;CERRO LA CRUZ;Arrendado;TEM ARRENDADOS;CANTON SAN VICENTE, JURISDICCION DE CANDELARIA DE LA FRONTERA;Candelaria de la Frontera
391627;SAN JOSE SOYAPANGO;13.728306;-89.124051;Pendiente;0;;30;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;TES0882 San Jose Soyapango 2;Co-Ubicado;TIGO;Lotificacion El Sauce, No.1 Calle Cedrera Poligono D No. 87, Soyapango.;Soyapango
390727;COATEPEQUE PUEBLO;13.926042;-89.500831;5356986;CLESA;;42;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;COATEPEQUE PUEBLO;Arrendado;TEM ARRENDADOS;KM 53.5 CARRETERA ANTIGUA A SANTA ANA. POL 2,  LOTE 1,  JURISDICCION DE COATEPEQUE;Coatepeque
391628;VALLA CEMENTERIO PARQUE LOS CIPRESES;13.711097;-89.118133;5453775;CAESS;;22;;OUTDOOR;VALLA;PEQUE•O;GUL;FO;373 Cementerio Los Cipreses, Ilopango;Co-Ubicado;VIVA OUTDOOR;Parque Memorial Los Cipreses, Carretra de Oro, Ilopango;Soyapango
390728;EL CONGO PUEBLO;13.910552;-89.489266;5363537;CLESA;;42;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;ES62526-A El Congo Pueblo;Co-Ubicado;SBA;CALLE LA LOMITA, CANTON EL JUNQUILLO, JURISDICCION DE COATEPEQUE, DEPTO. SANTA ANA;Coatepeque
391631;ALTAVISTA 2;13.716795;-89.095806;5417087;CAESS;;20;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;Alta Vista;Co-Ubicado;TETRA;Lote Nß 9 Block P De la Urbanizacion Altavista, Ilopango;Ilopango
390729;SANTA ANA NORTE 2;14.010708;-89.554804;5417043;CLESA;;30;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;4-004-SV Santa Ana Norte 2;Co-Ubicado;TETRA;LOTE 8,6ß CALLE PONIENTE Y PASAJE SONSONATE,LOTIF.SANTA ANITA.DEPARTAMENTO DE SANTA ANA;Santa Ana
391635;ZONA FRANCA SAN BARTOLO;13.705911;-89.107564;1234;IPL;;17;;OUTDOOR;VALLA;PEQUE•O;GUL;FO;411 Zona Franca San Bartolo;Co-Ubicado;VIVA OUTDOOR;Zona Franca San Bartolo Hboro, San Bartolo;Ilopango
390730;EL TREBOL;13.955899;-89.569345;5417035;CLESA;;37;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;El Trebol;Co-Ubicado;TETRA;CANTON LOMA ALTA,DE LA PARCELACION DENOMINADA SANTA TERESITA,SANTA ANA.;Santa Ana
391636;TRONCAL DEL NORTE 2;13.76903;-89.16586;5508838;CAESS;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;ES61314-B Troncal del Norte 2;Co-Ubicado;SBA;Carretera Troncal Del Norte km 9, contiguo a DUISA, Lote numero 3 Valle El Llanito, Ciudad Delgado;Ciudad Delgado
390731;SANTA ANA 7;13.966034;-89.542691;5423499;CLESA;;50;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;LA PRIMAVERA SV-01-0537-06;Co-Ubicado;Sites;Carretera antigua a San Salvador, Canton Primavera, finca Baja California;Santa Ana
391637;MONTE CARMELO;13.77117;-89.1755;5475539;CAESS;;24;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;ES58401-A Montecarmelo;Co-Ubicado;SBA;Entre Monte Carmelo y Lirios del Norte;Cuscatancingo
390732;SANTA ANA 5 (EL RANCHADOR);14.009919;-89.613462;5506200;CLESA;;30;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;TES0218 SANTA ANA 5 (RANCHADOR);Co-Ubicado;TIGO;Colonia Arequipa 2, Canton Ranchador, Santa Ana;Santa Ana
391638;ALTAVISTA 3;13.73658;-89.08565;5537747;CAESS;;27;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;Altavista III;Co-Ubicado;TETRA;Calle a Tonacatepeque, Cant¢n Las Delicias Lote S/N, San Martin, San Salvador;Tonacatepeque
390733;COL ESPANA LAS PALMERAS;13.976138;-89.575581;5493438;CLESA;;30;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;ES58336-A Colonia Las Palmeras Col Espana;Co-Ubicado;SBA;3a. Avenida Sur, Colonia Espa§a, Lotificacion Santa Cristina 1, Lote 35-A, Santa Ana.;Santa Ana
391639;APOPA CENTRO;13.80364;-89.17989;5476789;CAESS;;25;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;ES58821-A Apopa;Co-Ubicado;SBA;6 Calle Poniente y 4a. AvenidaNorte, ApopaSan Salvador;Apopa
390734;SIHUATEHUACAN;13.992635;-89.545721;5518487;CLESA;;36;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;ES58598-A Sihuatehuacan;Co-Ubicado;SBA;Final calle Libertad, 25 ave. Norte , Santa Ana;Santa Ana
391640;APOPA POPOTLAN;13.80111;-89.17269;5508839;CAESS;;44;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;TES0097 APOPA 3;Co-Ubicado;TIGO;Calle Antigua a ToncacatepequeUrb. PopotlanApopa;Apopa
