SITEID;Nombre de Sitio;Torrero;Nombre Torrero
391121;DESVIO SAN FELIPE;SBA;ES68624-B Desv¡o San Felipe
391122;SAN CARLOS LEMPA ;SBA;ES18E19-A San Carlos Lempa
391123;SAN VICENTE 6 ;SBA;ES58255-A San Vicente 6
391124;TECOLUCA 2;SBA;ES63867-B Tecoluca 2
391125;SAN VICENTE CENTRO;TORRECOM;TSVTF10082 San Vicente Centro
391201;USULUTAN ;TORRECOM;TSVTF11371 USULUTAN
391202;PUERTO EL TRIUNFO ;TORRECOM;TSVTF11296 PUERTO EL TRIUNFO
391203;LA CONCORDIA ;TORRECOM;La Concordia
391204;MERCEDES UMA¥A ;TORRECOM;MERCEDES UMA¥A
391205;SANTIAGO DE MARIA ;SBA;ES61455-A Santiago de Maria
391206;SAN SIMON ;SBA;ES61456-A San Simon
391207;USULUTAN II ;TORRECOM;TSVTF11374 USULUTAN II
391208;EL CASTANO ;PHOENIX;SV-US-1076 El Casta¤o
391209;SAN FRANCISCO JAVIER ;TORRECOM;TSVTF11375 SAN FRANCISCO JAVIER
391210;SAN AGUSTIN ;PHOENIX;SV-US-1081 SAN AGUSTIN
391211;CALIFORNIA;TORRECOM;California
391212;JIQUILISCO ;TORRECOM;TSVTF11377 JIQUILISCO
391213;EL TRIUNFO (SAN BUENAVENTURA) ;TORRECOM;El Triunfo (San Buenaventura)
391214;JUCUARAN ;TORRECOM;TSVTF11297 JUCUARAN
391215;SANTA ELENA ;TORRECOM;TSVTF11379 SANTA ELENA
391216;EREGUAYQUIN ;PHOENIX;SV-US-1006 Ereguayquin
391217;SAN MARCOS LEMPA ;SBA;ES18E55-A San Marcos Lempa Beam
391218;BERLIN ;SBA;ES58277-A Berlin 2
391219;ALEGRIA ;SBA;ES58437-A Alegria
391220;VALLA CEMENTERIO USULUTAN ;VIVA OUTDOOR;232 Salida a Usulut n
391221;VALLA SANTA MARIA USULUTAN ;VIVA OUTDOOR;256 Usulut n
391222;USULUTAN 4 ;SBA;ES18E3D-A Usulutan 4
391223;CONCEPCION BATRES ;SBA;ES58580-A Concepcion Batres
391224;USULUTAN 5 ;SBA;ES58273-A Usulutan 5
391225;USULUTAN 6 ;SBA;ES58272-A Usulutan 6
391226;USULUTAN 9 ;SBA;ES18E68-A Usulutan 9
391227;GUALACHE;TETRA;Gualache
391228;EL ZAMORANO;SBA;ES58278-A El Zamorano
391229;ISLA MENDEZ;SBA;ES18E08-A Isla Mendez
391230;LA CANOA;SBA;ES58350-A La Canoa
391231;LA CRUZADILLA ;SBA;ES18E8E-A La Cruzadilla
391232;TIERRA BLANCA JIQUILISCO;SBA;ES58138-A Tierra Blanca Jiquilisco
391233;OZATLAN ;SBA;ES18E1C-A Ozatlan
391234;TECAPAN;TETRA;Tecapan
391235;EL ESPINO ;SBA;ES18E0E-A El Espino
391236;ESTANZUELAS;SBA;ES58595-A Estanzuelas
391237;PRESA 15 DE SEPTIEMBRE ;SBA;ES18DE6-A Presa 15 De Septiembre
391238;JUCUAPA ;SBA;ES58528-A Jucuapa, Usulutan
391239;PUERTO PARADA 1 ;TETRA;Puerto Parada 1
391240;PUERTO PARADA 2 ;TETRA;Puerto Parada 2
391241;ISLA SAN SEBASTIAN ;TETRA;Isla San Sebastian Isla San Sebastian
391242;BERLIN 2 ;SBA;ES58777-A Berlin
391243;JUCUARAN 2 ;SBA;ES18E66-A Jucuaran 2
391244;NUEVA GRANADA ;SBA;ES58594-A Nueva Granada
391245;SAN PEDRO ARENALES ;SBA;ES58351-A San Pedro Arenales
391246;USULUTAN 3;TORRECOM;TSVTF11100 Usulutan 3
391247;USULUTAN 10 ;TETRA;Usulutan 10
391248;USULUTAN 2 BYPASS;TORRECOM;TSVTF11099 Usulutan 2, By Pass
391249;JUCUAPA PUEBLO ;TORRECOM;TSVTF11043 Jucuapa Pueblo
391301;SAN FRANCISCO GOTERA;TORRECOM;TSVTF13380 SAN FRANCISCO GOTERA
391302;JOCORO ;MOVISTAR;Jocoro
391303;SESEMBRA/YAMABAL;SBA;ES61458-A Sesembra/Yamabal
391304;SAN CARLOS ;SBA;ES61459-A San Carlos
391305;SAN SIMON GUALOCOCTI ;SBA;ES61460-A San Simon Gualococti
391306;TOROLA ;SBA;ES61461-A Torola
391307;PERQUIN ;TORRECOM;TSVTF13382 PERQUIN
391308;SAN FERNANDO (MORAZAN);SBA;ES61462-A San Fernando (Morazan)
391309;DELICIAS DE CONCEPCION ;SBA;ES61463-A Delicias de Concepcion
391310;JOCOATIQUE;SBA;ES61464-A Jocoatique
391311;YOLOAIQUIN;SBA;ES61465-A Yoloaquin
391312;JOATECA;TORRECOM;TSVTF13383 JOATECA
391313;ARAMBALA ;SBA;ES68533-A Arambala
391314;SOCIEDAD ;PHOENIX;SV-MO-1051 Sociedad
391315;LOLOTIQUILLO ;TETRA;Lolotiquillo Lolotiquillo
391316;CACAOPERA;PHOENIX;SV-MO-1008 Cacaopera
391317;GOTERA 4 ;SBA;ES58297-A Gotera 4
391318;GUATAJIAGUA 2;SBA;ES58360-A Guatajiagua 2
391319;CHILANGA;SBA;ES58504-A Chilanga
391320;LLANO DE SANTIAGO;SBA;ES58172-A Llano De Santiago
391321;SAN PEDRO RIO SECO;SBA;ES58171-A San Pedro Rio Seco
391322;CACAHUATALEJO;SBA;ES58146-A Cacahuatalejo
391323;CORINTO 3 ;SBA;ES58305-A Corinto 3
391324;GOTERA CENTRO ;TETRA;San Francisco Gotera San Francisco Gotera
391325;LONGITUDINAL 18;SBA;ES63832-B Longitudinal 18
391326;LA ESTANCIA;SBA;ES63846-B La Estancia
391327;LAS MARIAS (DESVIO A SOCIEDAD);SBA;ES18E25-A Desvio A Sociedad (Las Marias)
391329;OSICALA 2;SBA;ES68107-B Oscicala 2
391330;SAN ISIDRO MORAZAN;SBA;ES18E5A-A San Isidro Morazan
391401;LA UNION;TORRECOM;TSVTF14384 LA UNION
391402;SANTA ROSA DE LIMA ;PHOENIX;SV-UN-1092 SANTA ROSA DE LIMA 3
391403;ANAMOROS ;PHOENIX;SV-UN-1093 ANAMOROS
391404;PASAQUINA ;SBA;ES61466-A Pasaquina
391405;EL TAMARINDO ;SBA;ES61467-A El Tamarindo
391406;SIRAMA ;SBA;ES61468-A Sirama
391407;CALAVERA ;SBA;ES61469-A Calavera
391408;EMBARCADERO ;PHOENIX;SV-UN-1091 EMBARCADERO
391409;HATO NUEVO ;SBA;ES61470-A Hato Nuevo
391410;NUEVA ESPARTA ;SBA;ES63794-B Nueva Esparta
391411;EL CARMEN LA UNION ;SBA;ES61471-A El Carmen La Union
391412;CONCHAGUA ;PHOENIX;SV-UN-1088 Conchagua
391413;PUERTO CUTUCO ;MOVISTAR;PUERTO CUTUCO 
391414;SAN JOSE LA FUENTE ;SBA;ES61472-A San Jose La Fuente
391415;YAYANTIQUE;SBA;ES61473-A Yayantique
391416;CONCEPCION DE ORIENTE ;PHOENIX;SV-CH-1064 Concepcion de Oriente
391417;BOLIVAR ;TORRECOM;TSVTF14385 BOLIVAR
391418;LA UNION 2 ;SBA;ES61474-A La Union 2
391419;CUTUCO ;PHOENIX;SV-UN-1089 Cutuco
391420;INTIPUCA ;SBA;ES58284-A Intipuca 2 Volcano
391421;SAN ALEJO ;PHOENIX;SV-UN-1010 San Alejo
391422;EL AMATILLO ;TETRA;El Amatillo El Amatillo
391424;EL SAUCE;PHOENIX;SV-UN-1007 El Sauce 2
391425;INTIPUCA 2;SBA;ES62528-A Intupuca 2
391426;EL CIPRES ;TORRECOM;TSVTF14386 EL CIPRES
391427;JOYA REDONDA ;TORRECOM;TSVTF14387 JOYA REDONDA
391428;PLAYAS NEGRAS ;SBA;ES62410-B Playas Negras
391429;SAN ALEJO 2;SBA;ES62409-B San Alejo 2
391431;DESVIO A BOLIVAR;SBA;ES58523-A Desvio De Bolivar (La Chorrera)
391432;CANTON EL MOGOTILLO ;SBA;ES18E52-A Canton El Mogotillo
391433;EL CUCO 2 (EL CUCO) ;SBA;ES18DFD-A El Cuco - Tigo
391434;EL TAMARINDO 2 ;SBA;ES58529-A TAMARINDO 2
391435;LAS CHACAS ;SBA;ES62415-B Las Chacas
391436;AGUA CALIENTE LA UNION;SBA;ES58302-A Agua Caliente, La Union
391437;AGUA ESCONDIDA YOLOGUAL ;SBA;ES18E63-A Agua Escondida
391438;CANTON EL RODEO SENSEMBRA;SBA;ES18E61-A Canton El Rodeo
391440;LA UNION 3 ;TESCO SA DE CV;SKY-00057 La Uni¢n 
391441;LA SIRENA ;SBA;ES69966-B LA SIRENA
391442;EL TABLON (VALLE AFUERA);SBA;ES68123-B El Tabl¢n, Valle Afuera
391443;GUERIPE;TETRA;Gueripe
391444;LA QUESADILLA;SBA;ES58158-A La Quezadilla - Tigo
391446;LOS MOJONES;SBA;ES58203-A Los Mojones
391447;LOS TERRERITOS;SBA;ES58204-A Terreritos
391448;NUEVA ESPARTA 2;SBA;ES58478-A Nueva Esparta 2 Ciudad
391449;OLOMEGA ;SBA;ES18E39-A Olomega
391450;PASAQUINA 2;TETRA;Pasaquina 4 Pasaquina 4
391451;PIEDRAS BLANCAS;SBA;ES18E0B-A Piedras Blancas
391452;PLAYITAS;SBA;ES18E24-A Playitas - Tigo
391453;POLOROS;SBA;ES58477-A Poloros, La Union
391454;SAN SEBASTIAN LAS MINAS;SBA;ES58300-A San Sebastian Las Minas
391455;SAN ROSA DE LIMA 3 ;SBA;ES57599-A SAN ROSA DE LIMA 3 
391456;TULIMA;SBA;ES58205-A Tulima - Tigo
391457;YUCUAIQUIN ;SBA;ES58497-A Yucuaiquin, La Union
391458;CERRO CONCHAGUA ;TORRECOM;TSVTF14302 CERRO CONCHAGUA
3970003;CERRO CACAHUATIQUE;TORRECOM;TSVTF13300 CERRO CACAHUATIQUE
3970008;CERRO PACHO;TORRECOM;CERRO PACHO
3970011;CERRO TORRECILLAS;TORRECOM;TSVTF14301 CERRO TORRECILLAS
390519;ILOBASCO LOS DESAMPARADOS;SITES;LOS DESAMPARADOS SV-02-0593-07
390520;SENSUNTEPEQUE 3;PHOENIX;SV-CA-1001 SENSUNTEPEQUE 
391251;SANTA MARIA USULUTAN;SITES;CTE SANTA MARIA SV-03-0293-06
391331;GOTERA CENTRO 2;SITES;GOTERA SV-03-0415-99
391459;EL PALMO (LA UNION);TETRA;EL PALMO (LA UNION) EL PALMO (LA UNION)
390257;SAPUYO;SITES;SAPUYO SV-02-0935-09
390258;SAN RAFAEL OBRAJUELO 2;TORRECOM;TSVTF08212 San Rafael Obrajuelo
390323;COJUTEPEQUE 4;TORRECOM;TSVDG07188 Cojutepeque Centro
390324;COJUTEPEQUE CENTRO;TORRECOM;TSVTF07193 Cojutepeque Centro 3
390326;EL CARMEN CUSCATLAN 2;TORRECOM;TSVTF07207 El Carmen Cuscatlan
390664;SAN MIGUEL 10 (MEGAPOLIS);TORRECOM;TSVDG12168 San Miguel 10
390665;VALLA METROCENTRO SAN MIGUEL;VIVA OUTDOOR;VALLA METROCENTRO SAN MIGUEL
391126;VERAPAZ 2;SBA;ES89251-B VERAPAZ NORTE
391250;USULUTAN 7;SBA;ES58271-A USULUTAN 7
391423;LA UNION 1 CLARO;SITES;LA UNION I SV-03-0552-98
390259;EL ACHIOTAL;SITES;EL ACHIOTAL SV-02-0332-08
390260;CUYULTITAN 2;SITES;CUYULTITAN SV-02-0313-07
390261;LAS HOJAS;SITES;LAS HOJAS SV-02-0567-07
390262;SANTA CRUZ CHACASTAL;TETRA;Santa Cruz Chacastal
390263;ROSARIO  DE LA PAZ 2;PHOENIX;SV-PA-1010 ROSARIO DE LA PAZ 
390264;EL PIMENTAL;TETRA;El Pimental
390265;IGLESIA OLOCUILTA;SBA;ES58095-R IGLESIA OLOCUILTA
390266;SAN MARCELINO 2;SBA;ES58623-A SAN MARCELINO
390267;SAN LUIS TALPA 2;TETRA;TBS02083 San Luis Talpa 2
390327;CA COJUTEPEQUE II;SITES;CA COJUTEPEQUE II SV-02-0099-04
390328;SANTA CRUZ MICHAPA 2;SITES;SANTA CRUZ MICHAPA I SV-02-0884-00
390666;PAPALON 2;SITES;EL PAPALON SV-03-0365-07
390667;CIUDAD PACIFICA 2;SITES;CIUDAD PACÖFICA III SV-03-0239-10
390668;TROPICO INN (Calle Fe y Alegria San Miguel);SITES;TROPICO INN SV-03-1043-02
390671;COLONIA SAN ANTONIO SAN MIGUEL;TETRA;COLONIA SAN ANTONIO SAN MIGUEL
390672;SAN MIGUEL 8;SITES;EL SITIO SV-03-0727-06
390673;COLONIA SANTA LUISA (SAN MIGUEL);SBA;ES58747-A SAN MIGUEL 4
391127;ASENTAMIENTO FENADESAL SUR SAN VICENTE;PHOENIX;SV-SV-1003 SAN VICENTE
391128;SAN EMIGDIO 2 (SAN VICENTE);SBA;ES69819-B San Francisco Agua Agria
391252;GEO BERLIN;SITES;CA BERLIN II SV-03-0096-08
391445;LISLIQUE;SITES;LISLIQUE SV-03-0583-05
391460;DESVIO LOS MANGOS (BOBADILLA);TORRECOM;TSVDG14156 BOBADILLA
391461;AMAPALITA;TETRA;Amapalita
391462;LA UNION 5;SBA;ES58208-A La Union 5
390244;COSTA DEL SOL IV (CLARO);SITES;COSTA DEL SOL IV SV-02-0264-09
390245;SANTIAGO NONUALCO CENTRO;PUBLIMOVIL;Santiago Nonualco Centro
390254;ZACATECOLUCA NORTE;PHOENIX;SV-PA-1071 Zacatecoluca
390268;SAN JOSE ARRIBA;TETRA;San Jose Arriba
390269;JALPONGUITA;SBA;ES58790-A JALPONGUITA
390270;CUYULTITAN 3;SITES;LA QUEZADILLA SV-02-0383-09
390271;PIEDRONAS;SITES;PIEDRONAS SV-02-0411-09
390272;COMALAPA CLARO;SITES;COMALAPA SV-02-0372-09
390273;SAN JUAN TALPA 2;SITES;SAN JUAN TALPA SV-02-0167-04
390274;SAN PEDRO NONUALCO 2;SBA;ES58597-A SAN PEDRO NONUALCO VOLCANO
390276;SANTIAGO NONUALCO AUTOPISTA;PHOENIX;San Rafael SV-PA-1007
390277;LAS GUARUMAS;SITES;LAS GUARUMAS SV-02-0288-08
390278;SANTA CRUZ PORRILLO;SITES;SANTA CRUZ PORRILLO SV-02-0159-04
390279;TECOLUCA NORTE;SITES;TECOLUCA SV-02-0161-04
390280;EL SALAMO (CLARO);SITES;EL SALAMO SV-02-0382-09
390281;CUPINCO II;SITES;CUPINCO II SV-02-0235-10
390283;ICHANMICHEN;SITES;ICHANMICHEN SV-02-0188-05
390317;COJUTEPEQUE NORTE;SBA;ES18E1E-A Cojutepeque 2
390617;QUELEPA 3;SITES;QUELEPA SV-03-0754-08
390659;LAS PLACITAS;SITES;LAS PLACITAS I SV-03-0706-05
390661;MILAGRO DE LA PAZ;TETRA;Milagro de La Paz
390669;JALACATAL;SBA;ES58732-A JALACATAL
391129;SAN CAYETANO ISTEPEQUE;TETRA;San Cayetano Istepeque
391130;CTE GUADALUPE;SITES;CTE GUADALUPE SV-02-1119-95
391131;SAN ESTEBAN CATARINA CLARO;SITES;SAN ESTEBAN CATARINA SV-02-0217-06
391132;SAN VICENTE 2 PHOENIX;PHOENIX;San Vicente 2 SV-SV-1006
391133;VERAPAZ CLARO;SITES;VERAPAZ SV-02-0178-04
391253;PUERTO EL TRIUNFO 2;SITES;PUERTO EL TRIUNFO SV-03-0931-03
391254;JIQUILISCO II;PHOENIX;SV-US-1078 Jiquilisco iI
391255;SAN MARCOS LEMPA 2;SBA;ES63829-B San Marcos Lempa
391256;TIERRA BLANCA II;SITES;TIERRA BLANCA II SV-03-0888-00
391257;USULUTAN SUR;SBA;ES68130-B Usulut n Sur
391430;CONCHAGUA POBLACION;SITES;CONCHAGUA POBLACION SV-03-0734-07
391439;CUTUCO 2;SBA;ES58791-A CUTUCO
391463;CARRETERA A CUTUCO;SBA;ES69968-B Carretera a Cutuco
5034;VALLA MAMA GALLINA;PUBLIMOVIL;VALLA MAMA GALLINA
5035;SAN MIGUEL 9;SBA;ES58645-A SAN MIGUEL 9 (FENADESAL)
5036;SAN MIGUEL 44;SBA;ES58280-A SAN MIGUEL 44
390285;SAN JUAN NONUALCO 2;SBA;ES58542-A SAN JUAN NONUALCO VOLCANO
390287;OLOCUILTA INTELFON;INTELFON;EBTS_087 OLOCUILTA
390288;LA SHUCA;SITES;SV-02-0543-11 La Shuca
390319;ICHANQUESO;SITES;ICHANQUESO SV-02-0182-05
390320;SUCHITOTO 2;SBA;ES18DD3-A Suchitoto
390670;CHAPARRASTIQUE ;SITES;CHAPARRASTIQUE SV-03-0722-06
390674;Mayucaqu¡n;KGI;MAYUCAQUIN
